country,value_start,value_end,cagr
Iraq,49.057,161.115,0.0404339131050957
Haiti,0.995,3.238,0.040116035892078905
Bahrain,11.494,37.396,0.040108068275425124
Angola,5.09,16.533,0.04005058538834727
New Caledonia,1.576,5.109,0.03998240003182807
Philippines,40.91,132.232,0.039880823836810686
Thailand,86.563,271.923,0.03889212629729233
Egypt,75.218,235.358,0.03875606560981004
Vanuatu,0.066,0.202,0.037990983731168715
Lebanon,7.868,23.815,0.03760695585586604
Dominican Republic,8.936,27.015,0.03756519204117237
Kiribati,0.022,0.066,0.037299197302950615
Anguilla,0.048,0.143,0.03705827211657153
Guyana,1.129,3.361,0.03703278306622826
Saint Vincent and the Grenadines,0.081,0.238,0.03658057138850923
Sao Tome and Principe,0.048,0.139,0.03607800016815221
Morocco,22.298,64.564,0.0360741000098459
Cape Verde,0.18,0.517,0.03579529655987579
Panama,2.632,7.25,0.03435210842794234
Tuvalu,0.004,0.011,0.034294995021648234
Samoa,0.088,0.242,0.034294995021648234
British Virgin Islands,0.066,0.18,0.034008920917484975
Grenada,0.106,0.289,0.03399808060182452
Turkey,151.615,412.927,0.03396150580641755
Saint Lucia,0.18,0.484,0.03352049973216076
Dominica,0.059,0.158,0.03338027888567163
El Salvador,2.475,6.594,0.033203315938198585
Rwanda,0.524,1.372,0.032604692147209624
Mauritius,1.462,3.807,0.032415501609368125
Antigua and Barbuda,0.242,0.619,0.03180075843090591
Kuwait,37.807,95.655,0.03142546278615832
Togo,0.978,2.439,0.030929811123538098
Chile,32.908,80.178,0.030129420985891775
Malawi,0.74,1.768,0.029457332653685775
South Korea,250.511,597.634,0.02940660354023561
Costa Rica,2.913,6.771,0.028514481560223404
Cote d'Ivoire,4.782,11.016,0.02820681607048514
Nicaragua,2.044,4.66,0.027851011271611048
Peru,21.401,46.925,0.02651588378215264
Algeria,76.738,168.178,0.02649921970825453
Taiwan,124.258,272.202,0.02648411209971613
Saint Kitts and Nevis,0.106,0.231,0.026306006141511018
Tonga,0.084,0.183,0.026295426267026523
Tunisia,13.553,28.49,0.0250740365706954
Trinidad and Tobago,16.981,35.066,0.024465723097588876
Sierra Leone,0.498,1.026,0.02438670639313112
Botswana,2.7,5.551,0.024315116897813294
Brunei,5.456,11.157,0.02413160558230798
Brazil,218.658,445.208,0.02398419382279382
Jordan,10.476,20.96,0.023386914589072605
Ecuador,16.458,32.909,0.02336663680814066
Solomon Islands,0.147,0.289,0.022788925464082732
Turkmenistan,33.344,64.26,0.022109521824720257
Belize,0.311,0.584,0.021225730448484414
Bolivia,10.007,18.312,0.02034661801312465
French Polynesia,0.469,0.832,0.01929137528417435
Bonaire Sint Eustatius and Saba,0.065,0.114,0.01890349002905989
Guinea-Bissau,0.172,0.297,0.018374696949608582
Liberia,0.456,0.78,0.018054415804745316
Aruba,0.487,0.821,0.017561046280111903
Suriname,1.737,2.918,0.017441658656892844
Israel,35.824,59.156,0.01685920441735478
Uruguay,3.967,6.474,0.016460133359854412
Colombia,56.898,89.732,0.01530146200835425
Saint Helena,0.007,0.011,0.015180237673023456
Djibouti,0.297,0.463,0.014909890286054717
Cyprus,4.644,7.015,0.01384410930355573
Iceland,2.222,3.341,0.013688253649365656
Cook Islands,0.044,0.066,0.013607250893419964
Lesotho,1.473,2.173,0.0130446001908886
Argentina,112.149,165.121,0.012978505589825273
Wallis and Futuna,0.018,0.026,0.012332923617154101
Australia,278.16,399.184,0.012113648914773512
South Africa,312.93,434.067,0.010967014154481536
Mexico,316.746,428.94,0.010158479161235023
New Zealand,25.497,34.023,0.009662246591499057
Central African Republic,0.183,0.238,0.008797960570717356
Gabon,4.485,5.625,0.007577983767087071
Fiji,0.801,1.004,0.007557963411724433
Hong Kong,27.148,33.497,0.007029676446924205
Montenegro,1.961,2.407,0.006854270775388915
Sint Maarten (Dutch part),0.534,0.652,0.0066771508662317736
Barbados,1.026,1.237,0.006253516988848906
Norway,35.003,41.231,0.005473479335032394
Eswatini,0.96,1.121,0.005181482308862062
Canada,458.015,526.582,0.004660999832875712
Macao,0.901,1.033,0.004567640396118122
Yemen,9.52,10.884,0.004473274425363272
Faroe Islands,0.703,0.758,0.0025140380347457025
Singapore,43.536,46.7,0.002341269254903411
Ireland,32.945,35.124,0.002137118827775897
Uzbekistan,103.087,109.632,0.0020539735464180087
Bosnia and Herzegovina,19.871,20.832,0.0015755359747668951
Democratic Republic of Congo,4.249,4.302,0.0004132977077344613
Bahamas,2.023,2.034,0.0001807743190669342
Niue,0.007,0.007,0.0
Austria,62.184,62.176,-4.28861523349422e-06
Kazakhstan,268.173,255.486,-0.001614185166688209
Libya,36.514,34.237,-0.0021439922940909018
Andorra,0.407,0.381,-0.0021980411058051263
Portugal,45.311,41.738,-0.0027341834193485015
United States,5120.957,4714.628,-0.0027519171751466676
Spain,230.174,211.843,-0.0027625142277570847
Jamaica,7.527,6.902,-0.002885340426827643
Palau,0.234,0.213,-0.003129391536406345
Japan,1157.393,1040.483,-0.003543209090330679
Bermuda,0.502,0.436,-0.004687574744517864
Greenland,0.625,0.537,-0.005045679418707261
Albania,5.521,4.711,-0.0052746666203697945
Slovenia,15.095,12.855,-0.005340048392966201
Netherlands,162.797,136.67,-0.005814190620927473
Poland,376.641,302.433,-0.007287738497381624
Serbia,57.784,45.17,-0.008175688147299076
Tajikistan,12.037,9.404,-0.008194576852747604
Switzerland,44.149,34.228,-0.008448319145228478
Somalia,0.782,0.597,-0.008957560757967609
Montserrat,0.029,0.022,-0.009166177989820556
Belgium,120.297,91.228,-0.009177686156675913
Armenia,8.999,6.795,-0.009320506034582565
Croatia,22.874,16.882,-0.010074011388705117
Cuba,29.648,21.277,-0.010998007877337623
Liechtenstein,0.199,0.142,-0.011186222583209782
France,393.717,280.49,-0.011239502925790457
Syria,37.045,26.313,-0.01133758220687131
Azerbaijan,51.318,36.233,-0.011535327399802342
Italy,438.207,302.602,-0.012266577599631234
Luxembourg,11.813,8.075,-0.012600860885261578
Saint Pierre and Miquelon,0.092,0.062,-0.013068989071204462
Venezuela,120.764,80.927,-0.013254400267517008
Greece,83.438,55.558,-0.013464410232242319
Georgia,15.948,10.575,-0.0136013444828893
Finland,56.921,37.7,-0.013639600967695564
Malta,2.427,1.6,-0.013792410890114626
